notification_id,equipment_id,created_date,notification_type,priority,status
N-00071,EQ-0095,2026-02-11,Preventive Request,Medium,Open
N-00072,EQ-0047,2025-02-16,Inspection,Medium,Closed
N-00073,EQ-0097,2024-03-10,Condition Monitoring,Medium,Closed
N-00074,EQ-0013,2025-01-15,Breakdown,Medium,Closed
N-00075,EQ-0038,2025-12-21,Breakdown,Medium,Closed
N-00076,EQ-0036,2025-01-26,Breakdown,Emergency,Closed
N-00077,EQ-0048,2026-05-24,Breakdown,Medium,Closed
N-00078,EQ-0092,2026-03-05,Breakdown,Medium,Converted to Order
N-00079,EQ-0057,2024-09-20,Breakdown,High,Closed
N-00080,EQ-0044,2025-10-04,Preventive Request,Medium,Closed
N-00081,EQ-0032,2024-05-23,Breakdown,Low,Closed
N-00082,EQ-0054,2025-08-25,Breakdown,Medium,Closed
N-00083,EQ-0018,2025-09-05,Breakdown,High,Closed
N-00084,EQ-0049,2025-04-12,Breakdown,High,Closed
N-00085,EQ-0020,2026-02-19,Inspection,Medium,Closed
N-00086,EQ-0035,2025-10-04,Breakdown,Medium,Closed
N-00087,EQ-0029,2024-06-29,Breakdown,Medium,Closed
N-00088,EQ-0043,2025-03-14,Preventive Request,Low,Closed
N-00089,EQ-0091,2025-11-16,Breakdown,High,Converted to Order
N-00090,EQ-0084,2026-04-08,Preventive Request,High,Open
N-00091,EQ-0072,2024-07-24,Inspection,Low,Closed
N-00092,EQ-0062,2024-09-27,Breakdown,High,Converted to Order
N-00093,EQ-0077,2025-01-02,Inspection,Medium,Closed
N-00094,EQ-0097,2024-09-08,Preventive Request,Medium,Closed
N-00095,EQ-0058,2025-06-04,Condition Monitoring,Medium,Closed
N-00096,EQ-0057,2025-01-08,Breakdown,Low,Closed
N-00097,EQ-0021,2024-06-07,Breakdown,High,Closed
N-00098,EQ-0041,2026-02-11,Breakdown,Emergency,Closed
N-00099,EQ-0061,2024-04-27,Inspection,Medium,Closed
N-00100,EQ-0031,2025-04-03,Preventive Request,Medium,Closed
N-00101,EQ-0092,2024-05-22,Breakdown,Medium,Closed
N-00102,EQ-0099,2024-07-21,Breakdown,Low,Closed
N-00103,EQ-0023,2026-04-17,Condition Monitoring,Medium,Converted to Order
N-00104,EQ-0087,2024-07-22,Condition Monitoring,Medium,Closed
N-00105,EQ-0054,2024-04-03,Breakdown,Medium,Closed
N-00106,EQ-0030,2024-07-12,Breakdown,High,Converted to Order
N-00107,EQ-0009,2024-03-08,Breakdown,Medium,Closed
N-00108,EQ-0017,2025-01-18,Breakdown,High,Closed
N-00109,EQ-0057,2024-08-14,Inspection,Medium,Closed
N-00110,EQ-0041,2025-01-31,Breakdown,Medium,Closed
N-00111,EQ-0065,2025-07-03,Inspection,Medium,Closed
N-00112,EQ-0015,2024-03-27,Breakdown,Medium,Closed
N-00113,EQ-0076,2024-05-19,Inspection,Medium,Closed
N-00114,EQ-0035,2025-08-05,Preventive Request,Medium,Closed
N-00115,EQ-0055,2024-03-14,Preventive Request,Medium,Closed
N-00116,EQ-0023,2024-04-05,Condition Monitoring,High,Closed
N-00117,EQ-0085,2024-04-03,Inspection,Medium,Closed
N-00118,EQ-0015,2025-10-23,Condition Monitoring,Medium,Closed
N-00119,EQ-0033,2025-02-04,Inspection,Medium,Closed
N-00120,EQ-0058,2025-02-18,Breakdown,High,Closed
N-00121,EQ-0091,2024-07-31,Condition Monitoring,High,Closed
N-00122,EQ-0073,2025-04-09,Breakdown,Low,Closed
N-00123,EQ-0086,2025-12-17,Inspection,Low,Closed
N-00124,EQ-0076,2024-05-07,Breakdown,Medium,Closed
N-00125,EQ-0019,2025-09-19,Breakdown,High,Converted to Order
N-00126,EQ-0025,2024-11-02,Breakdown,Medium,Closed
N-00127,EQ-0077,2025-12-19,Inspection,Low,Converted to Order
N-00128,EQ-0052,2024-10-22,Breakdown,Low,Closed
N-00129,EQ-0045,2024-04-27,Inspection,Medium,Closed
N-00130,EQ-0023,2024-06-19,Breakdown,Emergency,Closed
N-00131,EQ-0027,2024-07-14,Preventive Request,High,Closed
N-00132,EQ-0035,2025-04-25,Inspection,Medium,Closed
N-00133,EQ-0004,2024-11-17,Breakdown,Medium,Closed
N-00134,EQ-0078,2024-03-03,Condition Monitoring,Low,Closed
N-00135,EQ-0010,2024-09-09,Breakdown,Medium,Closed
N-00136,EQ-0005,2026-03-13,Breakdown,Low,Closed
N-00137,EQ-0026,2025-09-02,Condition Monitoring,Low,Closed
N-00138,EQ-0027,2024-02-23,Inspection,High,Closed
N-00139,EQ-0013,2025-06-19,Preventive Request,Medium,Converted to Order
N-00140,EQ-0045,2025-11-27,Preventive Request,Medium,Closed
N-00141,EQ-0086,2024-08-19,Preventive Request,High,Closed
N-00142,EQ-0047,2024-09-27,Breakdown,Medium,Closed
N-00143,EQ-0097,2024-09-30,Preventive Request,Medium,Converted to Order
N-00144,EQ-0084,2026-03-03,Condition Monitoring,Medium,Closed
N-00145,EQ-0090,2024-11-05,Inspection,High,Closed
N-00146,EQ-0061,2024-09-29,Breakdown,Medium,Converted to Order
N-00147,EQ-0062,2026-06-26,Breakdown,Medium,Closed
N-00148,EQ-0034,2024-07-09,Breakdown,Medium,Closed
N-00149,EQ-0052,2025-10-25,Breakdown,Medium,Converted to Order
N-00150,EQ-0049,2024-01-26,Preventive Request,Medium,Closed
N-00151,EQ-0037,2024-11-15,Breakdown,Medium,Closed
N-00152,EQ-0044,2024-05-17,Breakdown,Emergency,Closed
N-00153,EQ-0027,2024-02-10,Inspection,Medium,Closed
N-00154,EQ-0040,2025-05-21,Inspection,Medium,Closed
N-00155,EQ-0054,2026-04-17,Breakdown,High,Closed
N-00156,EQ-0006,2025-09-22,Inspection,Low,Closed
N-00157,EQ-0039,2026-06-28,Breakdown,High,Closed
N-00158,EQ-0063,2026-05-13,Preventive Request,High,Closed
N-00159,EQ-0030,2024-11-04,Breakdown,Low,Closed
N-00160,EQ-0082,2026-02-19,Preventive Request,Low,Converted to Order
N-00161,EQ-0068,2025-03-30,Breakdown,Medium,Closed
N-00162,EQ-0015,2024-01-20,Inspection,Medium,Closed
N-00163,EQ-0062,2025-08-05,Preventive Request,Low,Closed
N-00164,EQ-0014,2025-04-26,Breakdown,Low,Closed
N-00165,EQ-0027,2024-08-20,Breakdown,Medium,Closed
N-00166,EQ-0066,2025-05-23,Preventive Request,Medium,Closed
N-00167,EQ-0061,2025-02-10,Breakdown,High,Closed
N-00168,EQ-0046,2025-10-05,Breakdown,High,Closed
N-00169,EQ-0038,2026-02-24,Condition Monitoring,Low,Closed
N-00170,EQ-0067,2024-08-08,Breakdown,Medium,Closed
N-00171,EQ-0073,2026-04-21,Condition Monitoring,Low,Closed
N-00172,EQ-0023,2024-10-14,Breakdown,Medium,Closed
N-00173,EQ-0031,2025-06-14,Inspection,Low,Closed
N-00174,EQ-0026,2025-03-19,Preventive Request,Medium,Closed
N-00175,EQ-0050,2026-03-08,Breakdown,Medium,Converted to Order
N-00176,EQ-0018,2025-05-24,Preventive Request,Medium,Closed
N-00177,EQ-0081,2024-08-17,Breakdown,High,Closed
N-00178,EQ-0080,2024-06-14,Inspection,Medium,Converted to Order
N-00179,EQ-0078,2025-03-29,Breakdown,High,Closed
N-00180,EQ-0095,2025-04-06,Preventive Request,Low,Closed
N-00181,EQ-0026,2025-04-26,Breakdown,High,Closed
N-00182,EQ-0046,2025-11-05,Condition Monitoring,Medium,Closed
N-00183,EQ-0028,2024-08-11,Breakdown,Medium,Closed
N-00184,EQ-0093,2025-11-17,Inspection,High,Closed
N-00185,EQ-0093,2025-11-05,Breakdown,High,Closed
N-00186,EQ-0039,2025-01-29,Breakdown,High,Closed
N-00187,EQ-0096,2025-01-28,Inspection,Medium,Closed
N-00188,EQ-0046,2024-01-16,Breakdown,High,Closed
N-00189,EQ-0095,2024-12-28,Breakdown,High,Closed
N-00190,EQ-0031,2024-05-16,Preventive Request,Medium,Closed
N-00191,EQ-0025,2024-08-20,Breakdown,Medium,Closed
N-00192,EQ-0057,2025-10-16,Condition Monitoring,Medium,Closed
N-00193,EQ-0042,2024-04-24,Inspection,Low,Closed
N-00194,EQ-0025,2025-09-13,Condition Monitoring,Low,Converted to Order
N-00195,EQ-0047,2024-07-01,Breakdown,Low,Closed
N-00196,EQ-0007,2026-05-28,Breakdown,Medium,Closed
N-00197,EQ-0062,2026-01-26,Preventive Request,Medium,Converted to Order
N-00198,EQ-0028,2026-03-10,Condition Monitoring,High,Closed
N-00199,EQ-0086,2024-01-05,Breakdown,Medium,Converted to Order
N-00200,EQ-0068,2025-11-28,Breakdown,Medium,Closed
N-00201,EQ-0027,2024-07-29,Breakdown,High,Closed
N-00202,EQ-0001,2025-07-11,Condition Monitoring,Medium,Converted to Order
N-00203,EQ-0040,2026-03-08,Inspection,Low,Closed
N-00204,EQ-0006,2026-05-24,Inspection,Medium,Closed
N-00205,EQ-0048,2025-07-30,Breakdown,Medium,Closed
N-00206,EQ-0024,2026-04-01,Breakdown,Emergency,Closed
N-00207,EQ-0064,2024-01-31,Condition Monitoring,Low,Closed
N-00208,EQ-0078,2026-06-14,Condition Monitoring,Medium,Closed
N-00209,EQ-0068,2024-11-07,Inspection,Medium,Open
N-00210,EQ-0058,2024-09-19,Breakdown,Emergency,Closed
N-00211,EQ-0001,2024-07-31,Breakdown,High,Closed
N-00212,EQ-0004,2025-11-24,Inspection,Low,Closed
N-00213,EQ-0052,2024-05-29,Breakdown,Low,Closed
N-00214,EQ-0088,2024-10-02,Preventive Request,Medium,Closed
N-00215,EQ-0008,2024-05-24,Breakdown,Medium,Closed
N-00216,EQ-0049,2025-01-14,Breakdown,High,Closed
N-00217,EQ-0063,2025-10-19,Preventive Request,Medium,Closed
N-00218,EQ-0088,2026-06-30,Preventive Request,High,Open
N-00219,EQ-0049,2024-02-28,Condition Monitoring,High,Closed
N-00220,EQ-0089,2025-04-06,Breakdown,Low,Closed
N-00221,EQ-0070,2025-04-03,Condition Monitoring,Medium,Closed
N-00222,EQ-0094,2025-03-14,Inspection,Medium,Closed
N-00223,EQ-0038,2025-02-06,Preventive Request,Low,Closed
N-00224,EQ-0069,2026-05-30,Preventive Request,Medium,Closed
N-00225,EQ-0086,2024-03-03,Preventive Request,Low,Closed
N-00226,EQ-0055,2025-04-11,Breakdown,High,Closed
N-00227,EQ-0009,2026-03-06,Condition Monitoring,Low,Closed
N-00228,EQ-0060,2024-10-14,Breakdown,Emergency,Closed
N-00229,EQ-0004,2024-02-02,Preventive Request,Low,Closed
N-00230,EQ-0031,2025-03-16,Inspection,Medium,Closed
N-00231,EQ-0057,2024-09-15,Preventive Request,Low,Closed
N-00232,EQ-0013,2025-06-05,Condition Monitoring,Medium,Closed
N-00233,EQ-0047,2024-09-10,Preventive Request,Low,Closed
N-00234,EQ-0085,2024-04-10,Breakdown,Medium,Closed
N-00235,EQ-0023,2025-10-11,Breakdown,Medium,Closed
N-00236,EQ-0029,2024-09-23,Condition Monitoring,Low,Closed
N-00237,EQ-0084,2024-07-23,Inspection,High,Closed
N-00238,EQ-0077,2025-07-24,Breakdown,Medium,Closed
N-00239,EQ-0027,2024-02-10,Preventive Request,Low,Closed
N-00240,EQ-0051,2024-05-10,Breakdown,High,Closed
N-00241,EQ-0063,2024-08-11,Breakdown,Medium,Closed
N-00242,EQ-0031,2024-02-26,Inspection,Low,Closed
N-00243,EQ-0028,2024-08-13,Condition Monitoring,Medium,Closed
N-00244,EQ-0092,2026-04-08,Inspection,Medium,Closed
N-00245,EQ-0004,2024-11-11,Condition Monitoring,Medium,Closed
N-00246,EQ-0077,2024-03-27,Breakdown,Low,Closed
N-00247,EQ-0044,2025-11-10,Breakdown,Medium,Closed
N-00248,EQ-0042,2026-01-01,Preventive Request,Medium,Closed
N-00249,EQ-0091,2025-02-12,Preventive Request,Medium,Closed
N-00250,EQ-0021,2024-08-16,Condition Monitoring,Medium,Converted to Order
N-00251,EQ-0002,2026-04-26,Breakdown,Low,Closed
N-00252,EQ-0069,2025-08-26,Condition Monitoring,Medium,Closed
N-00253,EQ-0093,2024-06-26,Breakdown,Medium,Closed
N-00254,EQ-0014,2024-01-15,Breakdown,Medium,Closed
N-00255,EQ-0007,2025-10-18,Breakdown,Medium,Closed
N-00256,EQ-0081,2026-05-03,Preventive Request,Medium,Closed
N-00257,EQ-0036,2025-09-14,Preventive Request,Medium,Closed
N-00258,EQ-0094,2024-11-30,Breakdown,Medium,Closed
N-00259,EQ-0017,2025-07-19,Breakdown,Medium,Closed
N-00260,EQ-0029,2026-06-07,Breakdown,Low,Closed
N-00261,EQ-0041,2026-03-06,Breakdown,High,Closed
N-00262,EQ-0029,2024-12-18,Breakdown,Medium,Closed
N-00263,EQ-0054,2025-11-12,Breakdown,Low,Closed
N-00264,EQ-0036,2024-03-07,Breakdown,High,Closed
N-00265,EQ-0095,2025-08-31,Breakdown,Medium,Converted to Order
N-00266,EQ-0100,2025-04-20,Breakdown,High,Closed
N-00267,EQ-0008,2025-01-31,Breakdown,Low,Closed
N-00268,EQ-0023,2025-05-09,Breakdown,Medium,Closed
N-00269,EQ-0031,2025-05-06,Breakdown,Medium,Closed
N-00270,EQ-0020,2025-01-14,Inspection,Medium,Closed
N-00271,EQ-0055,2026-01-10,Breakdown,Medium,Closed
N-00272,EQ-0035,2024-08-29,Breakdown,Medium,Closed
N-00273,EQ-0071,2025-11-17,Inspection,High,Closed
N-00274,EQ-0044,2025-08-15,Inspection,Medium,Closed
N-00275,EQ-0068,2024-06-11,Breakdown,Medium,Closed
N-00276,EQ-0031,2024-10-12,Breakdown,Medium,Closed
N-00277,EQ-0049,2025-10-01,Condition Monitoring,Low,Closed
N-00278,EQ-0062,2024-05-19,Condition Monitoring,Medium,Closed
N-00279,EQ-0076,2025-10-08,Preventive Request,Medium,Converted to Order
N-00280,EQ-0050,2025-05-05,Breakdown,Medium,Closed
N-00281,EQ-0064,2024-01-30,Breakdown,Medium,Closed
N-00282,EQ-0089,2025-09-29,Preventive Request,Low,Converted to Order
N-00283,EQ-0012,2024-03-29,Breakdown,High,Closed
N-00284,EQ-0077,2025-09-29,Breakdown,Medium,Converted to Order
N-00285,EQ-0022,2025-05-31,Condition Monitoring,Medium,Closed
N-00286,EQ-0087,2025-02-24,Preventive Request,Medium,Closed
N-00287,EQ-0035,2024-09-12,Breakdown,Medium,Closed
N-00288,EQ-0056,2025-12-24,Preventive Request,Medium,Closed
N-00289,EQ-0062,2025-12-13,Inspection,Medium,Closed
N-00290,EQ-0041,2024-07-07,Preventive Request,Medium,Closed
N-00291,EQ-0035,2025-12-05,Condition Monitoring,Medium,Closed
N-00292,EQ-0005,2025-07-18,Breakdown,High,Closed
N-00293,EQ-0080,2025-04-11,Condition Monitoring,High,Closed
N-00294,EQ-0066,2025-06-18,Inspection,Medium,Closed
N-00295,EQ-0079,2025-06-20,Breakdown,Medium,Closed
N-00296,EQ-0085,2025-04-11,Breakdown,High,Closed
N-00297,EQ-0051,2024-01-18,Breakdown,Medium,Closed
N-00298,EQ-0052,2024-09-19,Breakdown,Medium,Closed
N-00299,EQ-0039,2024-08-03,Breakdown,Medium,Converted to Order
N-00300,EQ-0085,2025-06-03,Condition Monitoring,Medium,Closed
N-00301,EQ-0097,2025-08-30,Breakdown,High,Closed
N-00302,EQ-0018,2026-03-27,Inspection,Medium,Closed
N-00303,EQ-0064,2026-03-03,Breakdown,Low,Closed
N-00304,EQ-0100,2025-03-12,Inspection,Medium,Open
N-00305,EQ-0039,2025-11-20,Breakdown,Medium,Closed
N-00306,EQ-0042,2025-10-30,Inspection,Medium,Closed
N-00307,EQ-0003,2025-08-30,Condition Monitoring,Medium,Converted to Order
N-00308,EQ-0013,2025-10-23,Breakdown,High,Closed
N-00309,EQ-0067,2026-06-14,Breakdown,Medium,Closed
N-00310,EQ-0069,2025-09-10,Condition Monitoring,Low,Closed
N-00311,EQ-0004,2024-07-03,Breakdown,Low,Closed
N-00312,EQ-0087,2025-01-27,Inspection,Medium,Closed
N-00313,EQ-0064,2025-07-22,Condition Monitoring,Medium,Closed
N-00314,EQ-0018,2024-06-09,Breakdown,High,Open
N-00315,EQ-0067,2025-01-15,Preventive Request,High,Closed
N-00316,EQ-0094,2024-11-06,Condition Monitoring,Medium,Closed
N-00317,EQ-0079,2026-03-08,Condition Monitoring,Medium,Closed
N-00318,EQ-0005,2024-10-27,Breakdown,Medium,Closed
N-00319,EQ-0026,2024-05-02,Breakdown,High,Closed
N-00320,EQ-0051,2024-11-11,Breakdown,Medium,Closed
N-00321,EQ-0076,2025-09-13,Breakdown,High,Closed
N-00322,EQ-0049,2026-01-12,Condition Monitoring,Medium,Closed
N-00323,EQ-0074,2024-07-14,Inspection,Medium,Open
N-00324,EQ-0066,2026-06-28,Inspection,Low,Closed
N-00325,EQ-0094,2026-05-21,Breakdown,High,Closed
N-00326,EQ-0041,2025-10-27,Breakdown,Medium,Closed
N-00327,EQ-0067,2024-12-08,Breakdown,Medium,Closed
N-00328,EQ-0002,2026-03-12,Breakdown,High,Closed
N-00329,EQ-0009,2024-04-28,Breakdown,Medium,Open
N-00330,EQ-0021,2025-02-07,Preventive Request,Medium,Closed
N-00331,EQ-0093,2025-06-28,Preventive Request,Low,Closed
N-00332,EQ-0068,2025-09-23,Inspection,Medium,Closed
N-00333,EQ-0052,2024-04-20,Preventive Request,High,Closed
N-00334,EQ-0066,2024-05-26,Breakdown,Low,Closed
N-00335,EQ-0016,2025-12-12,Preventive Request,Medium,Closed
N-00336,EQ-0066,2025-08-22,Breakdown,Medium,Closed
N-00337,EQ-0070,2025-07-24,Breakdown,Low,Closed
N-00338,EQ-0059,2024-01-29,Preventive Request,High,Closed
N-00339,EQ-0032,2025-12-30,Breakdown,Medium,Closed
N-00340,EQ-0092,2024-06-02,Breakdown,Medium,Closed
N-00341,EQ-0073,2025-11-19,Breakdown,Medium,Closed
N-00342,EQ-0074,2025-06-23,Breakdown,Emergency,Closed
N-00343,EQ-0016,2024-06-08,Breakdown,High,Closed
N-00344,EQ-0051,2024-02-20,Breakdown,High,Closed
N-00345,EQ-0046,2026-05-09,Preventive Request,Medium,Closed
N-00346,EQ-0099,2025-01-14,Condition Monitoring,Medium,Closed
N-00347,EQ-0068,2024-01-21,Condition Monitoring,Medium,Closed
N-00348,EQ-0061,2026-01-11,Breakdown,Medium,Closed
N-00349,EQ-0036,2026-03-08,Preventive Request,High,Closed
N-00350,EQ-0090,2025-12-03,Inspection,High,Closed
N-00351,EQ-0087,2025-01-13,Inspection,Medium,Closed
N-00352,EQ-0090,2024-02-14,Breakdown,Emergency,Closed
N-00353,EQ-0058,2025-11-10,Preventive Request,High,Closed
N-00354,EQ-0038,2024-06-04,Breakdown,Emergency,Closed
N-00355,EQ-0050,2024-04-03,Condition Monitoring,High,Closed
N-00356,EQ-0072,2025-06-25,Breakdown,High,Closed
N-00357,EQ-0055,2024-04-03,Inspection,High,Closed
N-00358,EQ-0100,2025-08-16,Preventive Request,Low,Closed
N-00359,EQ-0039,2026-06-17,Condition Monitoring,Medium,Closed
N-00360,EQ-0079,2025-07-08,Breakdown,Medium,Closed
N-00361,EQ-0074,2025-05-20,Condition Monitoring,Medium,Open
N-00362,EQ-0098,2024-11-12,Condition Monitoring,Medium,Converted to Order
N-00363,EQ-0035,2024-05-12,Breakdown,Medium,Closed
N-00364,EQ-0088,2024-11-05,Breakdown,Low,Closed
N-00365,EQ-0063,2025-06-27,Breakdown,Medium,Closed
N-00366,EQ-0032,2025-06-27,Inspection,High,Closed
N-00367,EQ-0028,2024-08-05,Preventive Request,Medium,Closed
N-00368,EQ-0030,2024-10-24,Inspection,Medium,Closed
N-00369,EQ-0051,2026-01-16,Breakdown,Medium,Closed
N-00370,EQ-0096,2024-09-27,Condition Monitoring,Medium,Closed
N-00371,EQ-0095,2025-11-24,Breakdown,Medium,Closed
N-00372,EQ-0094,2025-07-15,Breakdown,Medium,Closed
N-00373,EQ-0094,2025-04-17,Breakdown,Medium,Converted to Order
N-00374,EQ-0079,2024-07-08,Inspection,Medium,Closed
N-00375,EQ-0015,2025-07-25,Preventive Request,Medium,Closed
N-00376,EQ-0018,2025-08-02,Breakdown,Medium,Closed
N-00377,EQ-0021,2026-06-13,Breakdown,High,Converted to Order
N-00378,EQ-0096,2026-03-16,Breakdown,Medium,Closed
N-00379,EQ-0056,2025-06-11,Inspection,Medium,Closed
N-00380,EQ-0030,2024-05-16,Inspection,High,Closed
N-00381,EQ-0082,2024-01-18,Preventive Request,Medium,Converted to Order
N-00382,EQ-0087,2025-06-28,Condition Monitoring,Medium,Closed
N-00383,EQ-0062,2025-01-10,Preventive Request,Medium,Open
N-00384,EQ-0090,2025-02-15,Condition Monitoring,Medium,Converted to Order
N-00385,EQ-0023,2024-05-17,Preventive Request,Medium,Converted to Order
N-00386,EQ-0006,2025-08-08,Breakdown,High,Closed
N-00387,EQ-0077,2025-06-13,Breakdown,Medium,Closed
N-00388,EQ-0014,2024-02-11,Inspection,Medium,Closed
N-00389,EQ-0017,2026-06-19,Preventive Request,Medium,Closed
N-00390,EQ-0009,2024-04-06,Preventive Request,Medium,Closed
N-00391,EQ-0096,2025-11-22,Inspection,Low,Closed
N-00392,EQ-0041,2024-06-29,Inspection,High,Converted to Order
N-00393,EQ-0042,2026-04-06,Breakdown,High,Closed
N-00394,EQ-0065,2026-02-27,Condition Monitoring,Medium,Converted to Order
N-00395,EQ-0076,2024-06-27,Inspection,High,Closed
N-00396,EQ-0065,2024-11-16,Condition Monitoring,Low,Closed
N-00397,EQ-0039,2026-06-26,Inspection,Low,Closed
N-00398,EQ-0078,2024-04-03,Preventive Request,Low,Closed
N-00399,EQ-0034,2025-11-19,Condition Monitoring,Medium,Closed
N-00400,EQ-0018,2025-02-17,Breakdown,Medium,Closed
N-00401,EQ-0094,2024-10-30,Breakdown,Medium,Closed
N-00402,EQ-0026,2025-03-04,Breakdown,Medium,Closed
N-00403,EQ-0048,2024-05-21,Breakdown,Medium,Closed
N-00404,EQ-0016,2025-11-07,Breakdown,Low,Closed
N-00405,EQ-0079,2025-12-28,Breakdown,Low,Closed
N-00406,EQ-0025,2024-09-24,Breakdown,Emergency,Closed
N-00407,EQ-0024,2025-06-01,Preventive Request,Low,Closed
N-00408,EQ-0066,2026-04-08,Breakdown,Medium,Converted to Order
N-00409,EQ-0097,2025-09-25,Breakdown,Medium,Closed
N-00410,EQ-0067,2026-04-06,Preventive Request,Low,Closed
N-00411,EQ-0097,2025-03-01,Condition Monitoring,Medium,Closed
N-00412,EQ-0050,2025-07-16,Preventive Request,Medium,Closed
N-00413,EQ-0075,2025-10-03,Condition Monitoring,Low,Converted to Order
N-00414,EQ-0046,2024-08-24,Breakdown,Low,Closed
N-00415,EQ-0010,2024-10-16,Inspection,Medium,Closed
N-00416,EQ-0089,2025-11-06,Breakdown,High,Closed
N-00417,EQ-0003,2024-06-15,Inspection,Medium,Closed
N-00418,EQ-0069,2025-12-30,Inspection,Medium,Closed
N-00419,EQ-0006,2025-05-05,Preventive Request,Medium,Closed
N-00420,EQ-0062,2024-03-18,Breakdown,High,Closed
