maintenance_order_id,spare_part_id,quantity,material_cost
MO-00162,SP-004,2,90
MO-00163,SP-008,3,285
MO-00164,SP-009,2,36
MO-00166,SP-002,1,210
MO-00166,SP-012,1,190
MO-00166,SP-009,2,36
MO-00167,SP-008,1,95
MO-00169,SP-010,1,32
MO-00170,SP-007,1,160
MO-00171,SP-010,1,32
MO-00171,SP-006,3,525
MO-00172,SP-011,2,280
MO-00172,SP-005,2,240
MO-00173,SP-004,2,90
MO-00173,SP-001,3,255
MO-00174,SP-004,1,45
MO-00174,SP-005,2,240
MO-00175,SP-007,3,480
MO-00176,SP-007,1,160
MO-00176,SP-002,3,630
MO-00177,SP-008,1,95
MO-00177,SP-009,3,54
MO-00178,SP-005,3,360
MO-00179,SP-001,1,85
MO-00181,SP-003,1,65
MO-00181,SP-001,2,170
MO-00183,SP-012,3,570
MO-00183,SP-007,2,320
MO-00184,SP-005,3,360
MO-00185,SP-004,3,135
MO-00186,SP-014,3,390
MO-00186,SP-010,1,32
MO-00186,SP-007,2,320
MO-00187,SP-011,3,420
MO-00187,SP-008,2,190
MO-00187,SP-002,2,420
MO-00188,SP-012,3,570
MO-00190,SP-001,2,170
MO-00191,SP-010,1,32
MO-00191,SP-011,2,280
MO-00192,SP-013,2,110
MO-00193,SP-001,2,170
MO-00193,SP-012,1,190
MO-00194,SP-003,3,195
MO-00194,SP-011,2,280
MO-00195,SP-011,1,140
MO-00195,SP-003,1,65
MO-00196,SP-012,3,570
MO-00196,SP-010,2,64
MO-00196,SP-011,1,140
MO-00197,SP-009,3,54
MO-00199,SP-013,2,110
MO-00201,SP-008,3,285
MO-00201,SP-011,1,140
MO-00202,SP-007,2,320
MO-00205,SP-002,3,630
MO-00206,SP-006,1,175
MO-00206,SP-012,1,190
MO-00207,SP-009,2,36
MO-00209,SP-010,1,32
MO-00209,SP-009,2,36
MO-00210,SP-002,2,420
MO-00210,SP-015,2,2500
MO-00212,SP-008,3,285
MO-00213,SP-001,2,170
MO-00215,SP-012,2,380
MO-00215,SP-002,2,420
MO-00217,SP-010,2,64
MO-00218,SP-007,2,320
MO-00218,SP-015,3,3750
MO-00219,SP-010,3,96
MO-00220,SP-012,2,380
MO-00221,SP-010,2,64
MO-00221,SP-006,1,175
MO-00221,SP-013,2,110
MO-00222,SP-013,2,110
MO-00222,SP-012,2,380
MO-00226,SP-015,2,2500
MO-00227,SP-008,2,190
MO-00228,SP-004,2,90
MO-00232,SP-001,1,85
MO-00233,SP-008,3,285
MO-00233,SP-011,2,280
MO-00233,SP-014,3,390
MO-00234,SP-002,3,630
MO-00234,SP-012,1,190
MO-00235,SP-001,1,85
MO-00235,SP-008,3,285
MO-00237,SP-015,2,2500
MO-00238,SP-008,3,285
MO-00239,SP-001,1,85
MO-00241,SP-002,1,210
MO-00244,SP-005,1,120
MO-00244,SP-015,1,1250
MO-00245,SP-013,3,165
MO-00245,SP-008,2,190
MO-00247,SP-013,3,165
MO-00250,SP-015,1,1250
MO-00250,SP-002,3,630
MO-00250,SP-010,1,32
MO-00254,SP-002,3,630
MO-00254,SP-014,1,130
MO-00254,SP-006,3,525
MO-00257,SP-015,3,3750
MO-00258,SP-002,3,630
MO-00258,SP-003,2,130
MO-00259,SP-003,1,65
MO-00260,SP-009,2,36
MO-00261,SP-005,1,120
MO-00261,SP-013,2,110
MO-00262,SP-002,3,630
MO-00263,SP-015,1,1250
MO-00265,SP-010,3,96
MO-00265,SP-013,3,165
MO-00265,SP-011,1,140
MO-00266,SP-013,2,110
MO-00266,SP-005,3,360
MO-00268,SP-003,3,195
MO-00269,SP-006,3,525
MO-00270,SP-013,1,55
MO-00271,SP-011,2,280
MO-00271,SP-013,2,110
MO-00271,SP-010,3,96
MO-00272,SP-014,2,260
MO-00272,SP-001,1,85
MO-00273,SP-013,2,110
MO-00275,SP-006,3,525
MO-00275,SP-009,2,36
MO-00276,SP-004,3,135
MO-00276,SP-001,1,85
MO-00277,SP-008,1,95
MO-00277,SP-003,3,195
MO-00278,SP-009,2,36
MO-00278,SP-011,2,280
MO-00279,SP-011,1,140
MO-00279,SP-005,2,240
MO-00279,SP-007,1,160
MO-00280,SP-005,3,360
MO-00280,SP-003,3,195
MO-00280,SP-013,3,165
MO-00281,SP-014,1,130
MO-00281,SP-011,1,140
MO-00281,SP-009,3,54
MO-00282,SP-012,2,380
MO-00282,SP-002,3,630
MO-00282,SP-006,3,525
MO-00284,SP-005,1,120
MO-00285,SP-007,3,480
MO-00286,SP-001,2,170
MO-00288,SP-006,3,525
MO-00288,SP-015,3,3750
MO-00291,SP-004,1,45
MO-00291,SP-001,1,85
MO-00291,SP-005,2,240
MO-00292,SP-009,1,18
MO-00293,SP-015,3,3750
MO-00294,SP-013,1,55
MO-00294,SP-012,3,570
MO-00294,SP-004,1,45
MO-00295,SP-009,2,36
MO-00295,SP-014,1,130
MO-00296,SP-001,3,255
MO-00297,SP-007,3,480
MO-00297,SP-012,1,190
MO-00298,SP-010,3,96
MO-00300,SP-007,2,320
MO-00300,SP-015,3,3750
MO-00300,SP-014,2,260
MO-00301,SP-009,1,18
MO-00302,SP-010,3,96
MO-00302,SP-005,2,240
MO-00302,SP-002,3,630
MO-00303,SP-003,1,65
MO-00303,SP-013,2,110
MO-00303,SP-002,1,210
MO-00304,SP-004,1,45
MO-00304,SP-009,2,36
MO-00305,SP-009,1,18
MO-00308,SP-011,1,140
MO-00308,SP-006,2,350
MO-00309,SP-007,1,160
MO-00309,SP-002,3,630
MO-00309,SP-012,1,190
MO-00310,SP-002,3,630
MO-00312,SP-009,1,18
MO-00313,SP-008,1,95
MO-00314,SP-006,3,525
MO-00315,SP-015,2,2500
MO-00316,SP-010,2,64
MO-00317,SP-012,3,570
MO-00318,SP-001,1,85
MO-00319,SP-002,1,210
MO-00319,SP-014,2,260
MO-00321,SP-006,1,175
MO-00321,SP-004,1,45
MO-00321,SP-003,3,195
MO-00322,SP-007,1,160
MO-00324,SP-008,2,190
MO-00324,SP-001,3,255
MO-00324,SP-004,2,90
MO-00326,SP-002,2,420
MO-00326,SP-014,3,390
MO-00327,SP-013,1,55
MO-00328,SP-015,3,3750
MO-00328,SP-002,1,210
MO-00329,SP-014,1,130
MO-00329,SP-005,1,120
MO-00329,SP-003,2,130
MO-00330,SP-002,2,420
MO-00330,SP-014,2,260
MO-00331,SP-014,2,260
MO-00331,SP-008,1,95
MO-00333,SP-014,1,130
MO-00334,SP-013,1,55
MO-00334,SP-003,2,130
MO-00335,SP-006,1,175
MO-00335,SP-001,1,85
MO-00336,SP-007,2,320
MO-00336,SP-003,3,195
MO-00339,SP-009,3,54
MO-00339,SP-013,2,110
MO-00344,SP-010,1,32
MO-00344,SP-005,1,120
MO-00345,SP-010,1,32
MO-00345,SP-012,3,570
MO-00347,SP-010,3,96
MO-00347,SP-014,1,130
MO-00348,SP-005,1,120
MO-00350,SP-011,1,140
MO-00350,SP-001,2,170
MO-00350,SP-015,3,3750
MO-00352,SP-008,1,95
MO-00352,SP-012,3,570
MO-00354,SP-004,3,135
MO-00354,SP-014,3,390
MO-00355,SP-004,3,135
MO-00356,SP-006,1,175
MO-00358,SP-009,2,36
MO-00358,SP-001,1,85
MO-00359,SP-009,2,36
MO-00359,SP-005,3,360
MO-00361,SP-008,3,285
MO-00362,SP-002,1,210
MO-00363,SP-010,3,96
MO-00364,SP-012,1,190
MO-00365,SP-001,2,170
MO-00365,SP-009,3,54
MO-00365,SP-011,1,140
MO-00366,SP-007,1,160
MO-00366,SP-010,2,64
MO-00366,SP-011,1,140
MO-00367,SP-014,2,260
MO-00368,SP-011,1,140
MO-00368,SP-002,2,420
MO-00371,SP-015,1,1250
MO-00374,SP-015,3,3750
MO-00374,SP-006,2,350
MO-00376,SP-002,1,210
MO-00376,SP-005,3,360
MO-00377,SP-010,2,64
MO-00377,SP-012,1,190
MO-00378,SP-013,3,165
MO-00378,SP-005,1,120
MO-00379,SP-014,1,130
MO-00379,SP-012,1,190
MO-00379,SP-008,2,190
MO-00380,SP-009,3,54
MO-00382,SP-004,2,90
MO-00384,SP-012,3,570
MO-00384,SP-014,3,390
MO-00385,SP-009,1,18
MO-00385,SP-004,2,90
MO-00385,SP-005,1,120
MO-00386,SP-006,3,525
MO-00387,SP-003,1,65
MO-00389,SP-011,3,420
MO-00390,SP-001,1,85
MO-00391,SP-013,2,110
MO-00392,SP-006,1,175
MO-00393,SP-007,2,320
MO-00393,SP-006,2,350
MO-00398,SP-015,2,2500
MO-00400,SP-003,2,130
MO-00400,SP-014,3,390
MO-00400,SP-009,1,18
MO-00401,SP-002,2,420
MO-00401,SP-006,1,175
MO-00401,SP-003,1,65
MO-00402,SP-015,2,2500
MO-00404,SP-009,2,36
MO-00404,SP-003,3,195
MO-00405,SP-012,2,380
MO-00407,SP-009,3,54
MO-00408,SP-005,3,360
MO-00410,SP-012,2,380
MO-00410,SP-004,1,45
MO-00411,SP-005,2,240
MO-00411,SP-013,3,165
MO-00412,SP-014,3,390
MO-00412,SP-015,1,1250
MO-00412,SP-001,2,170
MO-00413,SP-004,2,90
MO-00415,SP-006,1,175
MO-00416,SP-002,3,630
MO-00417,SP-012,2,380
MO-00420,SP-011,3,420
MO-00421,SP-004,3,135
MO-00421,SP-012,3,570
MO-00421,SP-009,2,36
MO-00422,SP-008,3,285
MO-00422,SP-011,3,420
MO-00424,SP-015,2,2500
MO-00430,SP-007,1,160
MO-00430,SP-009,3,54
MO-00430,SP-010,1,32
MO-00433,SP-008,1,95
MO-00434,SP-009,1,18
MO-00434,SP-008,2,190
MO-00436,SP-014,2,260
MO-00437,SP-002,1,210
MO-00438,SP-009,1,18
MO-00439,SP-008,1,95
MO-00441,SP-006,2,350
MO-00443,SP-007,1,160
MO-00443,SP-002,1,210
MO-00444,SP-014,1,130
MO-00444,SP-011,3,420
MO-00445,SP-008,3,285
MO-00446,SP-009,1,18
MO-00446,SP-003,2,130
MO-00447,SP-003,1,65
MO-00447,SP-011,2,280
MO-00447,SP-014,1,130
MO-00449,SP-013,3,165
MO-00449,SP-014,2,260
MO-00451,SP-010,3,96
MO-00452,SP-008,1,95
MO-00452,SP-010,3,96
MO-00454,SP-006,1,175
MO-00454,SP-007,2,320
MO-00455,SP-009,2,36
MO-00456,SP-008,2,190
MO-00457,SP-005,3,360
MO-00458,SP-008,3,285
MO-00458,SP-012,2,380
MO-00459,SP-014,2,260
MO-00459,SP-005,1,120
MO-00460,SP-012,3,570
MO-00460,SP-006,2,350
MO-00461,SP-004,2,90
MO-00461,SP-013,2,110
MO-00463,SP-006,1,175
MO-00463,SP-003,2,130
MO-00464,SP-003,3,195
MO-00465,SP-013,1,55
MO-00466,SP-008,3,285
MO-00467,SP-012,2,380
MO-00467,SP-001,1,85
MO-00468,SP-004,2,90
MO-00468,SP-013,3,165
MO-00469,SP-003,1,65
MO-00469,SP-007,3,480
MO-00469,SP-009,2,36
MO-00470,SP-007,1,160
MO-00470,SP-014,1,130
MO-00472,SP-010,1,32
MO-00473,SP-006,2,350
MO-00473,SP-002,3,630
MO-00474,SP-013,3,165
MO-00476,SP-013,3,165
MO-00477,SP-001,3,255
MO-00478,SP-001,3,255
MO-00480,SP-006,2,350
MO-00480,SP-004,1,45
MO-00480,SP-010,3,96
MO-00482,SP-007,1,160
MO-00482,SP-006,2,350
MO-00483,SP-005,2,240
MO-00484,SP-013,3,165
MO-00485,SP-005,1,120
MO-00487,SP-007,2,320
MO-00487,SP-013,1,55
MO-00491,SP-006,2,350
MO-00492,SP-011,3,420
MO-00492,SP-001,2,170
MO-00493,SP-006,2,350
MO-00494,SP-015,3,3750
MO-00494,SP-007,1,160
MO-00495,SP-012,2,380
MO-00496,SP-010,3,96
MO-00496,SP-006,1,175
MO-00497,SP-006,3,525
MO-00500,SP-007,2,320
MO-00500,SP-005,2,240
MO-00502,SP-014,1,130
MO-00502,SP-013,1,55
MO-00503,SP-002,1,210
MO-00505,SP-006,2,350
MO-00506,SP-015,2,2500
MO-00507,SP-006,1,175
MO-00507,SP-004,2,90
MO-00508,SP-009,2,36
MO-00509,SP-001,2,170
MO-00510,SP-007,1,160
MO-00510,SP-001,1,85
MO-00511,SP-014,3,390
MO-00511,SP-008,2,190
MO-00511,SP-012,1,190
MO-00512,SP-006,2,350
MO-00512,SP-004,1,45
MO-00512,SP-007,2,320
MO-00515,SP-006,2,350
MO-00516,SP-011,2,280
MO-00517,SP-001,1,85
MO-00517,SP-002,2,420
MO-00518,SP-013,3,165
MO-00518,SP-008,2,190
MO-00518,SP-001,1,85
MO-00519,SP-014,1,130
MO-00519,SP-001,2,170
MO-00519,SP-008,1,95
MO-00522,SP-009,2,36
MO-00524,SP-003,1,65
MO-00525,SP-015,3,3750
MO-00526,SP-008,3,285
MO-00527,SP-003,2,130
MO-00527,SP-013,3,165
MO-00528,SP-009,3,54
MO-00528,SP-014,3,390
MO-00530,SP-006,1,175
MO-00530,SP-014,3,390
MO-00532,SP-011,3,420
MO-00532,SP-015,1,1250
MO-00534,SP-002,1,210
MO-00534,SP-008,1,95
MO-00534,SP-013,2,110
MO-00535,SP-001,3,255
MO-00537,SP-001,1,85
MO-00537,SP-012,1,190
MO-00537,SP-003,2,130
MO-00538,SP-008,3,285
MO-00538,SP-009,2,36
MO-00538,SP-002,2,420
MO-00539,SP-011,3,420
MO-00540,SP-013,1,55
MO-00543,SP-015,3,3750
MO-00543,SP-005,1,120
MO-00544,SP-013,2,110
MO-00544,SP-005,3,360
MO-00545,SP-013,3,165
MO-00545,SP-009,1,18
MO-00545,SP-010,2,64
MO-00546,SP-011,3,420
MO-00547,SP-002,2,420
MO-00550,SP-010,3,96
MO-00550,SP-009,2,36
MO-00550,SP-001,1,85
MO-00551,SP-009,3,54
MO-00552,SP-002,3,630
MO-00552,SP-012,1,190
MO-00553,SP-009,1,18
MO-00554,SP-003,2,130
MO-00555,SP-011,3,420
MO-00555,SP-014,3,390
MO-00556,SP-015,1,1250
MO-00556,SP-005,3,360
MO-00559,SP-015,2,2500
MO-00562,SP-012,2,380
MO-00562,SP-006,2,350
MO-00562,SP-001,2,170
MO-00565,SP-015,3,3750
MO-00567,SP-013,3,165
MO-00568,SP-009,2,36
MO-00569,SP-012,1,190
MO-00572,SP-001,2,170
MO-00573,SP-006,1,175
MO-00573,SP-002,1,210
MO-00573,SP-013,1,55
MO-00575,SP-012,3,570
MO-00575,SP-009,2,36
MO-00577,SP-010,3,96
MO-00578,SP-005,2,240
MO-00578,SP-012,2,380
MO-00579,SP-007,2,320
MO-00579,SP-009,3,54
MO-00579,SP-011,1,140
MO-00583,SP-009,2,36
MO-00584,SP-012,2,380
MO-00584,SP-013,1,55
MO-00584,SP-006,3,525
MO-00585,SP-001,2,170
MO-00585,SP-014,2,260
MO-00586,SP-005,3,360
MO-00587,SP-001,1,85
MO-00587,SP-015,1,1250
MO-00589,SP-009,3,54
MO-00592,SP-004,3,135
MO-00593,SP-003,1,65
MO-00593,SP-002,1,210
MO-00594,SP-011,1,140
MO-00594,SP-010,2,64
MO-00595,SP-002,1,210
MO-00595,SP-001,1,85
MO-00595,SP-012,1,190
MO-00597,SP-004,2,90
MO-00597,SP-003,2,130
MO-00600,SP-006,1,175
MO-00600,SP-011,1,140
MO-00602,SP-004,1,45
MO-00603,SP-014,1,130
MO-00603,SP-003,1,65
MO-00604,SP-003,2,130
MO-00605,SP-012,1,190
MO-00605,SP-007,2,320
MO-00606,SP-005,1,120
MO-00610,SP-005,1,120
MO-00610,SP-007,2,320
MO-00610,SP-001,2,170
MO-00611,SP-004,1,45
MO-00614,SP-004,3,135
MO-00615,SP-015,2,2500
MO-00615,SP-004,2,90
MO-00616,SP-003,1,65
MO-00619,SP-002,3,630
MO-00619,SP-006,2,350
MO-00620,SP-014,1,130
MO-00620,SP-012,3,570
MO-00620,SP-005,1,120
MO-00624,SP-002,3,630
MO-00624,SP-013,2,110
MO-00624,SP-015,2,2500
MO-00625,SP-013,1,55
MO-00625,SP-005,3,360
MO-00626,SP-010,2,64
MO-00627,SP-006,2,350
MO-00627,SP-007,2,320
MO-00628,SP-008,1,95
MO-00628,SP-010,2,64
MO-00628,SP-007,3,480
MO-00630,SP-004,2,90
MO-00631,SP-006,1,175
MO-00631,SP-009,1,18
MO-00632,SP-015,2,2500
MO-00632,SP-002,1,210
MO-00633,SP-015,3,3750
MO-00633,SP-008,2,190
MO-00634,SP-013,1,55
MO-00634,SP-007,2,320
MO-00634,SP-004,1,45
MO-00639,SP-015,2,2500
MO-00640,SP-001,3,255
MO-00640,SP-011,3,420
MO-00643,SP-006,3,525
MO-00645,SP-010,2,64
MO-00645,SP-001,2,170
MO-00646,SP-006,2,350
MO-00646,SP-009,1,18
MO-00646,SP-015,3,3750
MO-00647,SP-010,3,96
MO-00648,SP-001,3,255
MO-00648,SP-004,2,90
MO-00648,SP-012,3,570
MO-00651,SP-006,2,350
MO-00652,SP-011,3,420
MO-00652,SP-003,1,65
MO-00655,SP-008,1,95
MO-00656,SP-004,2,90
MO-00657,SP-012,3,570
MO-00657,SP-001,2,170
MO-00658,SP-001,2,170
MO-00658,SP-011,3,420
MO-00658,SP-015,2,2500
MO-00659,SP-010,2,64
MO-00660,SP-005,2,240
MO-00661,SP-012,1,190
MO-00662,SP-009,1,18
MO-00662,SP-005,1,120
MO-00663,SP-002,2,420
MO-00664,SP-002,1,210
MO-00664,SP-011,1,140
MO-00664,SP-008,3,285
MO-00665,SP-008,1,95
MO-00668,SP-014,2,260
MO-00668,SP-009,3,54
MO-00669,SP-011,1,140
MO-00669,SP-001,2,170
MO-00670,SP-005,3,360
MO-00671,SP-002,1,210
MO-00671,SP-010,2,64
MO-00671,SP-003,2,130
MO-00672,SP-015,2,2500
MO-00672,SP-014,1,130
MO-00675,SP-011,3,420
MO-00676,SP-003,2,130
MO-00676,SP-004,1,45
MO-00676,SP-001,2,170
MO-00677,SP-014,1,130
MO-00677,SP-013,2,110
MO-00678,SP-005,2,240
MO-00678,SP-003,1,65
MO-00679,SP-010,3,96
MO-00680,SP-001,1,85
MO-00680,SP-008,1,95
MO-00681,SP-007,3,480
MO-00681,SP-011,1,140
MO-00682,SP-006,1,175
MO-00682,SP-001,3,255
MO-00682,SP-012,1,190
MO-00683,SP-012,2,380
MO-00684,SP-011,3,420
MO-00684,SP-009,2,36
MO-00684,SP-013,3,165
MO-00685,SP-007,2,320
MO-00685,SP-013,3,165
MO-00686,SP-008,2,190
MO-00687,SP-004,2,90
MO-00688,SP-012,3,570
MO-00688,SP-014,1,130
MO-00688,SP-007,2,320
MO-00689,SP-005,2,240
MO-00690,SP-009,1,18
MO-00690,SP-004,2,90
MO-00691,SP-012,1,190
MO-00692,SP-006,2,350
MO-00693,SP-012,1,190
MO-00693,SP-008,1,95
MO-00694,SP-002,2,420
MO-00697,SP-006,2,350
MO-00697,SP-015,3,3750
MO-00697,SP-002,1,210
MO-00699,SP-013,3,165
MO-00700,SP-001,2,170
MO-00701,SP-012,1,190
MO-00705,SP-007,1,160
MO-00706,SP-001,1,85
MO-00707,SP-015,3,3750
MO-00708,SP-013,2,110
MO-00708,SP-008,2,190
MO-00710,SP-007,1,160
MO-00710,SP-008,1,95
MO-00713,SP-015,3,3750
MO-00713,SP-008,3,285
MO-00715,SP-013,1,55
MO-00717,SP-006,2,350
MO-00719,SP-007,1,160
MO-00719,SP-009,3,54
MO-00720,SP-004,3,135
MO-00720,SP-015,3,3750
MO-00720,SP-014,1,130
MO-00723,SP-010,3,96
MO-00723,SP-005,2,240
MO-00724,SP-010,1,32
MO-00724,SP-006,3,525
MO-00730,SP-010,2,64
MO-00731,SP-012,1,190
MO-00731,SP-010,2,64
MO-00732,SP-008,1,95
MO-00732,SP-012,1,190
MO-00733,SP-015,3,3750
MO-00735,SP-002,3,630
MO-00736,SP-007,1,160
MO-00736,SP-014,3,390
MO-00737,SP-004,2,90
MO-00738,SP-009,3,54
MO-00738,SP-015,3,3750
MO-00740,SP-010,3,96
MO-00741,SP-014,3,390
MO-00741,SP-008,3,285
MO-00743,SP-002,1,210
MO-00743,SP-008,1,95
MO-00743,SP-005,3,360
MO-00744,SP-008,1,95
MO-00746,SP-015,2,2500
MO-00746,SP-014,3,390
MO-00746,SP-001,2,170
MO-00747,SP-010,1,32
MO-00749,SP-010,3,96
MO-00750,SP-013,3,165
MO-00752,SP-010,3,96
MO-00752,SP-003,1,65
MO-00752,SP-008,3,285
MO-00753,SP-012,1,190
MO-00754,SP-004,3,135
MO-00754,SP-005,2,240
MO-00754,SP-015,1,1250
MO-00755,SP-012,2,380
MO-00755,SP-011,2,280
MO-00755,SP-003,1,65
MO-00756,SP-007,3,480
MO-00756,SP-005,2,240
MO-00758,SP-007,1,160
MO-00759,SP-002,3,630
MO-00759,SP-008,2,190
MO-00759,SP-005,1,120
MO-00760,SP-001,1,85
MO-00761,SP-006,3,525
MO-00761,SP-014,3,390
MO-00761,SP-012,1,190
MO-00764,SP-001,2,170
MO-00766,SP-009,2,36
MO-00766,SP-011,2,280
MO-00766,SP-012,1,190
MO-00767,SP-015,2,2500
MO-00767,SP-007,2,320
MO-00767,SP-001,3,255
MO-00770,SP-013,3,165
MO-00772,SP-003,3,195
MO-00772,SP-011,2,280
MO-00773,SP-014,2,260
MO-00773,SP-005,3,360
MO-00774,SP-015,3,3750
MO-00774,SP-006,3,525
MO-00777,SP-014,3,390
MO-00777,SP-003,2,130
MO-00778,SP-004,2,90
MO-00778,SP-011,3,420
MO-00779,SP-015,2,2500
MO-00779,SP-007,1,160
MO-00782,SP-005,1,120
MO-00782,SP-007,2,320
MO-00783,SP-015,2,2500
MO-00785,SP-004,2,90
MO-00786,SP-004,3,135
