maintenance_order_id,notification_id,equipment_id,technician_id,order_date,maintenance_type,priority,status,labour_hours,downtime_hours,labour_cost,material_cost,total_cost
MO-00081,N-00087,EQ-0029,T-022,2024-06-29,Corrective,Medium,Completed,2.76,7.06,88.33,150.0,238.33
MO-00082,N-00088,EQ-0043,T-022,2025-03-16,Preventive,Low,Completed,3.74,0.0,119.66,0.0,119.66
MO-00083,N-00089,EQ-0091,T-010,2025-11-18,Corrective,High,Completed,3.47,3.15,190.86,545.0,735.86
MO-00084,N-00090,EQ-0084,T-030,2026-04-09,Preventive,High,Completed,7.91,0.0,435.19,0.0,435.19
MO-00085,N-00091,EQ-0072,T-013,2024-07-27,Preventive,Low,Completed,9.72,0.0,534.39,2500.0,3034.39
MO-00086,N-00093,EQ-0077,T-013,2025-01-04,Preventive,Medium,Completed,2.35,0.0,129.06,0.0,129.06
MO-00087,N-00094,EQ-0097,T-021,2024-09-09,Preventive,Medium,Completed,1.31,0.0,54.94,0.0,54.94
MO-00088,N-00095,EQ-0058,T-006,2025-06-04,Preventive,Medium,Completed,0.5,0.0,16.0,0.0,16.0
MO-00089,N-00096,EQ-0057,T-030,2025-01-08,Corrective,Low,Completed,4.17,14.88,229.55,95.0,324.55
MO-00090,N-00097,EQ-0021,T-028,2024-06-07,Corrective,High,Completed,2.63,5.43,84.1,0.0,84.1
MO-00091,N-00098,EQ-0041,T-024,2026-02-12,Corrective,Emergency,Completed,5.53,0.5,232.42,870.0,1102.42
MO-00092,N-00099,EQ-0061,T-030,2024-04-30,Preventive,Medium,Completed,0.5,0.0,27.5,0.0,27.5
MO-00093,N-00100,EQ-0031,T-011,2025-04-05,Preventive,Medium,Completed,3.67,0.0,117.56,4230.0,4347.56
MO-00094,N-00102,EQ-0099,T-009,2024-07-21,Corrective,Low,Completed,1.11,7.65,60.81,240.0,300.81
MO-00095,N-00103,EQ-0023,T-026,2026-04-20,Preventive,Medium,Completed,2.94,0.0,161.8,90.0,251.8
MO-00096,N-00104,EQ-0087,T-008,2024-07-25,Preventive,Medium,Completed,3.04,0.0,167.04,570.0,737.04
MO-00097,N-00105,EQ-0054,T-025,2024-04-04,Corrective,Medium,Completed,4.72,5.15,150.94,55.0,205.94
MO-00098,N-00107,EQ-0009,T-019,2024-03-08,Corrective,Medium,Closed,7.62,1.53,419.22,0.0,419.22
MO-00099,N-00108,EQ-0017,T-014,2025-01-21,Corrective,High,Completed,3.04,3.55,97.31,226.0,323.31
MO-00100,N-00109,EQ-0057,T-005,2024-08-17,Preventive,Medium,Completed,1.91,0.0,104.87,0.0,104.87
MO-00101,N-00110,EQ-0041,T-028,2025-01-31,Corrective,Medium,Completed,8.54,1.79,273.13,2500.0,2773.13
MO-00102,N-00111,EQ-0065,T-013,2025-07-03,Preventive,Medium,Completed,1.13,0.0,62.33,0.0,62.33
MO-00103,N-00112,EQ-0015,T-001,2024-03-29,Corrective,Medium,Completed,5.77,3.97,317.39,160.0,477.39
MO-00104,N-00113,EQ-0076,T-030,2024-05-20,Preventive,Medium,Completed,4.85,0.0,266.96,300.0,566.96
MO-00105,N-00114,EQ-0035,T-018,2025-08-08,Preventive,Medium,Completed,2.23,0.0,93.74,380.0,473.74
MO-00106,N-00115,EQ-0055,T-011,2024-03-17,Preventive,Medium,Completed,1.25,0.0,40.03,0.0,40.03
MO-00107,N-00116,EQ-0023,T-020,2024-04-06,Preventive,High,Completed,2.6,0.0,142.94,0.0,142.94
MO-00108,N-00117,EQ-0085,T-025,2024-04-04,Preventive,Medium,Closed,6.65,0.0,212.91,520.0,732.91
MO-00109,N-00118,EQ-0015,T-011,2025-10-26,Preventive,Medium,Completed,10.01,0.0,320.41,0.0,320.41
MO-00110,N-00119,EQ-0033,T-026,2025-02-06,Preventive,Medium,Completed,0.58,0.0,31.94,0.0,31.94
MO-00111,N-00120,EQ-0058,T-007,2025-02-19,Corrective,High,Closed,4.78,2.06,200.83,0.0,200.83
MO-00112,N-00121,EQ-0091,T-019,2024-08-03,Preventive,High,Completed,1.29,0.0,71.03,410.0,481.03
MO-00113,N-00122,EQ-0073,T-006,2025-04-12,Corrective,Low,Completed,10.98,12.75,351.34,0.0,351.34
MO-00114,N-00123,EQ-0086,T-030,2025-12-19,Preventive,Low,Completed,2.17,0.0,119.36,285.0,404.36
MO-00115,N-00124,EQ-0076,T-009,2024-05-08,Corrective,Medium,Completed,2.71,3.52,148.94,0.0,148.94
MO-00116,N-00125,EQ-0019,T-013,2025-09-21,Corrective,High,Completed,7.02,15.83,385.98,170.0,555.98
MO-00117,N-00126,EQ-0025,T-026,2024-11-03,Corrective,Medium,Completed,1.44,3.01,78.97,4195.0,4273.97
MO-00118,N-00127,EQ-0077,T-003,2025-12-22,Preventive,Low,Completed,8.55,0.0,359.1,630.0,989.1
MO-00119,N-00128,EQ-0052,T-002,2024-10-22,Corrective,Low,Closed,5.89,3.31,247.52,600.0,847.52
MO-00120,N-00130,EQ-0023,T-021,2024-06-21,Corrective,Emergency,Completed,12.78,10.3,536.67,595.0,1131.67
MO-00121,N-00131,EQ-0027,T-005,2024-07-15,Preventive,High,Completed,3.04,0.0,167.11,805.0,972.11
MO-00122,N-00132,EQ-0035,T-001,2025-04-26,Preventive,Medium,Closed,1.37,0.0,75.4,360.0,435.4
MO-00123,N-00133,EQ-0004,T-002,2024-11-18,Corrective,Medium,Completed,8.09,2.08,339.94,285.0,624.94
MO-00124,N-00134,EQ-0078,T-025,2024-03-05,Preventive,Low,Completed,10.65,0.0,340.82,0.0,340.82
MO-00125,N-00135,EQ-0010,T-030,2024-09-11,Corrective,Medium,Closed,7.61,7.36,418.42,110.0,528.42
MO-00126,N-00136,EQ-0005,T-016,2026-03-15,Corrective,Low,Completed,2.97,6.43,163.19,165.0,328.19
MO-00127,N-00137,EQ-0026,T-016,2025-09-05,Preventive,Low,Completed,4.06,0.0,223.29,945.0,1168.29
MO-00128,N-00138,EQ-0027,T-008,2024-02-26,Preventive,High,Completed,5.03,0.0,276.53,0.0,276.53
MO-00129,N-00140,EQ-0045,T-004,2025-11-30,Preventive,Medium,Closed,2.28,0.0,125.41,765.0,890.41
MO-00130,N-00141,EQ-0086,T-029,2024-08-19,Preventive,High,Completed,3.98,0.0,219.15,260.0,479.15
MO-00131,N-00142,EQ-0047,T-006,2024-09-27,Corrective,Medium,Completed,3.83,2.88,122.66,18.0,140.66
MO-00132,N-00143,EQ-0097,T-021,2024-10-03,Preventive,Medium,Open,2.25,0.0,94.52,395.0,489.52
MO-00133,N-00144,EQ-0084,T-015,2026-03-05,Preventive,Medium,Completed,14.48,0.0,796.36,85.0,881.36
MO-00134,N-00145,EQ-0090,T-007,2024-11-05,Preventive,High,Completed,2.37,0.0,99.43,0.0,99.43
MO-00135,N-00146,EQ-0061,T-022,2024-10-02,Corrective,Medium,Closed,1.7,0.5,54.44,680.0,734.44
MO-00136,N-00147,EQ-0062,T-009,2026-06-26,Corrective,Medium,Completed,1.85,3.93,101.78,870.0,971.78
MO-00137,N-00148,EQ-0034,T-012,2024-07-09,Corrective,Medium,Completed,15.09,7.22,482.88,445.0,927.88
MO-00138,N-00149,EQ-0052,T-026,2025-10-27,Corrective,Medium,Completed,3.18,2.69,174.65,570.0,744.65
MO-00139,N-00150,EQ-0049,T-015,2024-01-27,Preventive,Medium,Closed,3.54,0.0,194.64,0.0,194.64
MO-00140,N-00151,EQ-0037,T-003,2024-11-17,Corrective,Medium,Completed,7.99,14.04,335.7,0.0,335.7
MO-00141,N-00153,EQ-0027,T-016,2024-02-10,Preventive,Medium,Completed,3.83,0.0,210.9,0.0,210.9
MO-00142,N-00154,EQ-0040,T-017,2025-05-24,Preventive,Medium,Completed,8.96,0.0,492.64,2555.0,3047.64
MO-00143,N-00155,EQ-0054,T-004,2026-04-18,Corrective,High,Closed,3.37,5.14,185.39,0.0,185.39
MO-00144,N-00156,EQ-0006,T-013,2025-09-25,Preventive,Low,Completed,1.11,0.0,61.22,420.0,481.22
MO-00145,N-00157,EQ-0039,T-018,2026-06-30,Corrective,High,Completed,7.91,8.38,332.09,570.0,902.09
MO-00146,N-00158,EQ-0063,T-027,2026-05-16,Preventive,High,Completed,1.01,0.0,32.16,920.0,952.16
MO-00147,N-00159,EQ-0030,T-012,2024-11-05,Corrective,Low,Completed,1.22,5.53,39.02,0.0,39.02
MO-00148,N-00160,EQ-0082,T-029,2026-02-22,Preventive,Low,Completed,4.54,0.0,249.87,381.0,630.87
MO-00149,N-00161,EQ-0068,T-009,2025-04-01,Corrective,Medium,Completed,7.98,4.08,438.7,3175.0,3613.7
MO-00150,N-00162,EQ-0015,T-012,2024-01-23,Preventive,Medium,Completed,5.37,0.0,171.89,470.0,641.89
MO-00151,N-00163,EQ-0062,T-016,2025-08-05,Preventive,Low,Completed,4.66,0.0,256.1,55.0,311.1
MO-00152,N-00164,EQ-0014,T-009,2025-04-29,Corrective,Low,Completed,9.07,0.56,498.61,0.0,498.61
MO-00153,N-00165,EQ-0027,T-012,2024-08-21,Corrective,Medium,Completed,5.0,3.48,160.05,0.0,160.05
MO-00154,N-00166,EQ-0066,T-011,2025-05-26,Preventive,Medium,Closed,12.64,0.0,404.38,0.0,404.38
MO-00155,N-00167,EQ-0061,T-024,2025-02-13,Corrective,High,Closed,1.1,2.74,46.1,4105.0,4151.1
MO-00156,N-00168,EQ-0046,T-005,2025-10-08,Corrective,High,Completed,5.58,4.0,307.04,120.0,427.04
MO-00157,N-00169,EQ-0038,T-002,2026-02-27,Preventive,Low,Closed,5.76,0.0,241.93,0.0,241.93
MO-00158,N-00170,EQ-0067,T-016,2024-08-10,Corrective,Medium,Completed,7.85,13.32,431.94,715.0,1146.94
MO-00159,N-00171,EQ-0073,T-025,2026-04-21,Preventive,Low,Completed,5.23,0.0,167.49,630.0,797.49
MO-00160,N-00172,EQ-0023,T-009,2024-10-17,Corrective,Medium,Completed,7.24,1.72,398.13,190.0,588.13
MO-00161,N-00173,EQ-0031,T-024,2025-06-15,Preventive,Low,Completed,2.9,0.0,121.92,570.0,691.92
MO-00162,N-00175,EQ-0050,T-027,2026-03-11,Corrective,Medium,Completed,10.14,2.49,324.54,90.0,414.54
MO-00163,N-00176,EQ-0018,T-026,2025-05-24,Preventive,Medium,Completed,5.17,0.0,284.44,285.0,569.44
MO-00164,N-00177,EQ-0081,T-017,2024-08-18,Corrective,High,Completed,6.7,5.52,368.65,36.0,404.65
MO-00165,N-00178,EQ-0080,T-024,2024-06-16,Preventive,Medium,Completed,2.6,0.0,109.31,0.0,109.31
MO-00166,N-00179,EQ-0078,T-003,2025-03-29,Corrective,High,Closed,4.78,10.49,200.61,436.0,636.61
MO-00167,N-00180,EQ-0095,T-024,2025-04-07,Preventive,Low,Closed,1.77,0.0,74.29,95.0,169.29
MO-00168,N-00181,EQ-0026,T-022,2025-04-26,Corrective,High,Completed,3.85,4.21,123.3,0.0,123.3
MO-00169,N-00182,EQ-0046,T-014,2025-11-08,Preventive,Medium,Completed,9.86,0.0,315.49,32.0,347.49
MO-00170,N-00183,EQ-0028,T-002,2024-08-11,Corrective,Medium,Closed,4.68,4.14,196.45,160.0,356.45
MO-00171,N-00185,EQ-0093,T-007,2025-11-05,Corrective,High,Completed,3.87,8.31,162.49,557.0,719.49
MO-00172,N-00186,EQ-0039,T-007,2025-02-01,Corrective,High,Completed,3.14,5.37,131.89,520.0,651.89
MO-00173,N-00187,EQ-0096,T-009,2025-01-29,Preventive,Medium,Completed,7.45,0.0,409.77,345.0,754.77
MO-00174,N-00188,EQ-0046,T-015,2024-01-16,Corrective,High,Completed,7.06,3.68,388.22,285.0,673.22
MO-00175,N-00189,EQ-0095,T-004,2024-12-28,Corrective,High,Completed,2.01,10.66,110.73,480.0,590.73
MO-00176,N-00190,EQ-0031,T-005,2024-05-17,Preventive,Medium,Closed,2.87,0.0,157.72,790.0,947.72
MO-00177,N-00191,EQ-0025,T-011,2024-08-23,Corrective,Medium,Completed,2.41,1.48,77.18,149.0,226.18
MO-00178,N-00192,EQ-0057,T-008,2025-10-19,Preventive,Medium,Completed,2.94,0.0,161.51,360.0,521.51
MO-00179,N-00193,EQ-0042,T-024,2024-04-24,Preventive,Low,Completed,2.34,0.0,98.47,85.0,183.47
MO-00180,N-00194,EQ-0025,T-008,2025-09-13,Preventive,Low,Completed,1.37,0.0,75.43,0.0,75.43
MO-00181,N-00195,EQ-0047,T-022,2024-07-03,Corrective,Low,Completed,5.47,5.6,175.13,235.0,410.13
MO-00182,N-00196,EQ-0007,T-023,2026-05-30,Corrective,Medium,Completed,2.49,1.69,136.79,0.0,136.79
MO-00183,N-00197,EQ-0062,T-010,2026-01-26,Preventive,Medium,Completed,4.41,0.0,242.31,890.0,1132.31
MO-00184,N-00198,EQ-0028,T-012,2026-03-11,Preventive,High,Completed,6.09,0.0,194.97,360.0,554.97
MO-00185,N-00199,EQ-0086,T-027,2024-01-07,Corrective,Medium,Completed,8.12,18.73,259.81,135.0,394.81
MO-00186,N-00200,EQ-0068,T-020,2025-11-29,Corrective,Medium,Closed,5.14,14.62,282.83,742.0,1024.83
MO-00187,N-00201,EQ-0027,T-003,2024-07-31,Corrective,High,Completed,3.42,21.62,143.73,1030.0,1173.73
MO-00188,N-00202,EQ-0001,T-023,2025-07-12,Preventive,Medium,Completed,2.87,0.0,157.85,570.0,727.85
MO-00189,N-00203,EQ-0040,T-007,2026-03-11,Preventive,Low,Completed,2.92,0.0,122.62,0.0,122.62
MO-00190,N-00204,EQ-0006,T-018,2026-05-26,Preventive,Medium,Completed,4.06,0.0,170.4,170.0,340.4
MO-00191,N-00205,EQ-0048,T-005,2025-08-01,Corrective,Medium,Completed,2.18,10.75,119.93,312.0,431.93
MO-00192,N-00206,EQ-0024,T-026,2026-04-03,Corrective,Emergency,Completed,13.77,6.72,757.51,110.0,867.51
MO-00193,N-00207,EQ-0064,T-018,2024-01-31,Preventive,Low,Completed,1.82,0.0,76.45,360.0,436.45
MO-00194,N-00208,EQ-0078,T-020,2026-06-14,Preventive,Medium,Completed,1.78,0.0,97.86,475.0,572.86
MO-00195,N-00209,EQ-0068,T-029,2024-11-09,Preventive,Medium,Completed,5.06,0.0,278.47,205.0,483.47
MO-00196,N-00210,EQ-0058,T-020,2024-09-19,Corrective,Emergency,Completed,4.21,6.65,231.49,774.0,1005.49
MO-00197,N-00211,EQ-0001,T-026,2024-07-31,Corrective,High,Completed,5.13,29.48,282.09,54.0,336.09
MO-00198,N-00212,EQ-0004,T-011,2025-11-24,Preventive,Low,Completed,17.92,0.0,573.36,0.0,573.36
MO-00199,N-00213,EQ-0052,T-010,2024-05-31,Corrective,Low,Closed,8.28,2.62,455.51,110.0,565.51
MO-00200,N-00214,EQ-0088,T-002,2024-10-04,Preventive,Medium,Completed,6.22,0.0,261.17,0.0,261.17
MO-00201,N-00215,EQ-0008,T-021,2024-05-26,Corrective,Medium,Completed,1.52,5.14,63.83,425.0,488.83
MO-00202,N-00216,EQ-0049,T-004,2025-01-16,Corrective,High,Completed,6.75,5.77,371.49,320.0,691.49
MO-00203,N-00217,EQ-0063,T-014,2025-10-20,Preventive,Medium,Completed,2.81,0.0,90.04,0.0,90.04
MO-00204,N-00218,EQ-0088,T-014,2026-06-30,Preventive,High,Completed,6.15,0.0,196.7,0.0,196.7
MO-00205,N-00219,EQ-0049,T-028,2024-02-28,Preventive,High,Completed,1.45,0.0,46.41,630.0,676.41
MO-00206,N-00220,EQ-0089,T-008,2025-04-06,Corrective,Low,Completed,5.38,6.05,295.96,365.0,660.96
MO-00207,N-00221,EQ-0070,T-009,2025-04-06,Preventive,Medium,Completed,7.82,0.0,430.28,36.0,466.28
MO-00208,N-00222,EQ-0094,T-012,2025-03-16,Preventive,Medium,Completed,1.96,0.0,62.59,0.0,62.59
MO-00209,N-00223,EQ-0038,T-015,2025-02-06,Preventive,Low,Completed,7.89,0.0,433.86,68.0,501.86
MO-00210,N-00224,EQ-0069,T-021,2026-05-31,Preventive,Medium,Open,8.61,0.0,361.55,2920.0,3281.55
MO-00211,N-00225,EQ-0086,T-030,2024-03-05,Preventive,Low,Completed,0.82,0.0,44.84,0.0,44.84
MO-00212,N-00226,EQ-0055,T-024,2025-04-11,Corrective,High,Completed,5.13,1.48,215.61,285.0,500.61
MO-00213,N-00227,EQ-0009,T-030,2026-03-09,Preventive,Low,Completed,1.97,0.0,108.43,170.0,278.43
MO-00214,N-00228,EQ-0060,T-020,2024-10-15,Corrective,Emergency,Completed,1.28,4.62,70.24,0.0,70.24
MO-00215,N-00229,EQ-0004,T-022,2024-02-05,Preventive,Low,Completed,4.12,0.0,131.86,800.0,931.86
MO-00216,N-00230,EQ-0031,T-013,2025-03-17,Preventive,Medium,Completed,3.03,0.0,166.92,0.0,166.92
MO-00217,N-00231,EQ-0057,T-023,2024-09-15,Preventive,Low,Completed,4.22,0.0,231.86,64.0,295.86
MO-00218,N-00232,EQ-0013,T-013,2025-06-08,Preventive,Medium,Completed,8.28,0.0,455.53,4070.0,4525.53
MO-00219,N-00233,EQ-0047,T-016,2024-09-12,Preventive,Low,Completed,2.68,0.0,147.66,96.0,243.66
MO-00220,N-00234,EQ-0085,T-005,2024-04-13,Corrective,Medium,Completed,6.75,5.45,371.5,380.0,751.5
MO-00221,N-00235,EQ-0023,T-008,2025-10-13,Corrective,Medium,Closed,13.69,1.63,753.03,349.0,1102.03
MO-00222,N-00236,EQ-0029,T-010,2024-09-24,Preventive,Low,Completed,7.51,0.0,413.28,490.0,903.28
MO-00223,N-00237,EQ-0084,T-010,2024-07-24,Preventive,High,Completed,8.01,0.0,440.53,0.0,440.53
MO-00224,N-00238,EQ-0077,T-015,2025-07-27,Corrective,Medium,Completed,1.94,7.64,106.81,0.0,106.81
MO-00225,N-00239,EQ-0027,T-024,2024-02-13,Preventive,Low,Completed,6.57,0.0,275.89,0.0,275.89
